Package,LibPath,Version,Priority,Built
acepack,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.4.1,NA,3.4.2
ash,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.0-15,NA,3.4.1
assertthat,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.2.0,NA,3.4.2
backports,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.1.2,NA,3.4.3
base64enc,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.1-3,NA,3.4.1
BH,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.65.0-1,NA,3.4.1
bindr,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.1,NA,3.4.2
bindrcpp,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.2,NA,3.4.2
bitops,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.0-6,NA,3.4.1
blogdown,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.5,NA,3.4.3
bookdown,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.6,NA,3.4.3
broom,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.4.3,NA,3.4.2
callr,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.0.0,NA,3.4.2
caTools,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.17.1,NA,3.4.2
cellranger,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.1.0,NA,3.4.2
checkmate,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.8.5,NA,3.4.2
cli,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.0.0,NA,3.4.2
clipr,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.4.0,NA,3.4.2
clisymbols,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.2.0,NA,3.4.3
colorspace,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.3-2,NA,3.4.2
crayon,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.3.4,NA,3.4.2
crosstalk,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.0.0,NA,3.4.2
curl,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,3.1,NA,3.4.3
data.table,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.10.4-3,NA,3.4.2
DBI,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.7,NA,3.4.3
dbplyr,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.2.0,NA,3.4.3
debugme,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.1.0,NA,3.4.3
desc,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.1.1,NA,3.4.3
devtools,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.13.4,NA,3.4.3
